Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"222 Preston Ln SW # 15, Atlanta, GA",https://www.zillow.com/homedetails/222-Preston-Ln-SW-15-Atlanta-GA-30315/2082083984_zpid/,"$350,000",New construction,3 bds,3 ba,"2,023 sqft",None,Single Family,2019,Forced air,No Data,Attached Garage,"10,454 sqft",$173,"$1,794",$312/mo,$123/mo,$75/mo,Not included
"1164 Edie Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1164-Edie-Ave-SE-Atlanta-GA-30312/35869699_zpid/,"$329,500",House for sale,3 bds,2 ba,"1,200 sqft",,Single Family,1950,Forced air,Central,5 spaces,"7,074 sqft",$275,"$1,618",$294/mo,$115/mo,$0/mo,Not included
"38 Belmonte Cir SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/38-Belmonte-Cir-SW-Atlanta-GA-30311/35848598_zpid/,"$75,000",Condo for sale,2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,$37,$423,$67/mo,$26/mo,$23/mo,Not included
"1469 Belmont Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1469-Belmont-Ave-SW-Atlanta-GA-30310/35830944_zpid/,"$285,000",House for sale,3 bds,2 ba,"1,416 sqft",,Single Family,1920,Heat pump,Central,No Data,"6,490 sqft",$201,"$1,399",$254/mo,$100/mo,$0/mo,Not included
"2000 Grange Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/2000-Grange-Dr-SE-Atlanta-GA-30315/35874419_zpid/,"$75,000",House for sale,3 bds,1 ba,"1,040 sqft",,Single Family,1968,Forced air,Central,No Data,"9,583 sqft",$72,$400,$67/mo,$26/mo,$0/mo,Not included
"102 Plan, United Lofts",https://www.zillow.com/community/united-lofts/2082130998_zpid/,"$234,900+",New construction,1 bd,1 ba,774 sqft,,Condo,2019,Heat pump,Central,"Carport, Off street, On street",No Data,$303,"$1,211",,,,
"1425 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1425-Oakland-Dr-SW-Atlanta-GA-30310/35841329_zpid/,"$150,000",House for sale,7 bds,2 ba,"1,590 sqft",,Single Family,1930,Forced air,Central,No Data,0.44 acres,$94,$773,$134/mo,$53/mo,$0/mo,Not included
"1325 Elizabeth Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1325-Elizabeth-Ave-SW-Atlanta-GA-30310/35840778_zpid/,"$105,000",For sale by owner,2 bds,1 ba,870 sqft,,Single Family,1950,Forced air,Central,No Data,"5,998 sqft",$121,$560,$94/mo,$37/mo,$0/mo,Not included
"2182 Cascade Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2182-Cascade-Rd-SW-Atlanta-GA-30311/35858577_zpid/,"$187,500",House for sale,3 bds,1 ba,"1,763 sqft",,Single Family,1925,Other,Central,3 spaces,"10,018 sqft",$106,$967,$167/mo,$66/mo,$0/mo,Not included
"1100 Welch St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1100-Welch-St-SW-Atlanta-GA-30310/35890958_zpid/,"$230,000",For sale by owner,3 bds,2 ba,807 sqft,,Single Family,1923,Forced air,Other,No Data,"5,140 sqft",$285,"$1,186",$205/mo,$81/mo,$0/mo,Not included
