Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"6192 Stonelake Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/6192-Stonelake-Dr-SW-Atlanta-GA-30331/119314927_zpid/,"$349,900",Coming soon,7 bds,4 ba,"4,703 sqft","$335,154",Single Family,2011,Forced air,Central,Attached Garage,0.29 acres,$74,Great solar potentialSun Number™: 90.63,"$1,756",$0/mo,"$1,284/mo",$312/mo,$122/mo,$37/mo,Not included
"175 Wynfield Way SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/175-Wynfield-Way-SW-Atlanta-GA-30331/65462327_zpid/,"$457,900",House for sale,4 bds,4 ba,"3,624 sqft","$446,932",Single Family,2002,Forced air,Central,Attached Garage,0.47 acres,$126,Great solar potentialSun Number™: 92.21,"$2,357",$0/mo,"$1,681/mo",$408/mo,$160/mo,$108/mo,Not included
"3644 Stone Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3644-Stone-Rd-SW-Atlanta-GA-30331/65448363_zpid/,"$94,900",House for sale,3 bds,2 ba,"1,488 sqft","$91,385",Single Family,1961,Forced air,Central,No Data,0.42 acres,$64,Candidate for a community solar programSun Number™: 20.23,$507,$0/mo,$389/mo,$85/mo,$33/mo,$0/mo,Not included
"664 Indigo Ln NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/664-Indigo-Ln-NW-Atlanta-GA-30318/35864993_zpid/,"$244,999",House for sale,4 bds,3 ba,"2,120 sqft","$234,573",Single Family,1967,Forced air,Other,5 spaces,0.4 acres,$116,Candidate for a community solar programSun Number™: 20.22,"$1,228",$0/mo,$924/mo,$218/mo,$86/mo,$0/mo,Not included
"2666 Dayview Ln, Atlanta, GA 30331",https://www.zillow.com/homedetails/2666-Dayview-Ln-Atlanta-GA-30331/171499952_zpid/,"$279,900",House for sale,4 bds,4 ba,"3,456 sqft","$274,517",Single Family,2016,No Data,No Data,No Data,0.27 acres,$81,Limited solar potentialSun Number™: 55.42,"$1,416",$0/mo,"$1,027/mo",$250/mo,$98/mo,$41/mo,Not included
"1425 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1425-Oakland-Dr-SW-Atlanta-GA-30310/35841329_zpid/,"$150,000",House for sale,7 bds,2 ba,"1,590 sqft","$144,642",Single Family,1930,Forced air,Central,No Data,0.44 acres,$94,Limited solar potentialSun Number™: 59.42,$752,$0/mo,$566/mo,$134/mo,$53/mo,$0/mo,Not included
"875 Eleanor Ct NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/875-Eleanor-Ct-NW-Atlanta-GA-30318/35865021_zpid/,"$160,000",House for sale,4 bds,2 ba,"1,166 sqft","$155,354",Single Family,1963,Forced air,Central,Attached Garage,0.31 acres,$137,Good solar potentialSun Number™: 60.22,$802,$0/mo,$603/mo,$143/mo,$56/mo,$0/mo,Not included
"Fieldstone Plan, Summit At Stonewall Tell",https://www.zillow.com/community/summit-at-stonewall-tell/2085277700_zpid/,"$307,990+",New construction,4 bds,3 ba,"2,835 sqft","$295,902",Single Family,2019,No Data,No Data,2 spaces,No Data,$109,Great solar potentialSun Number™: 92.23,"$1,513",,,,,,
"1638 Orlando St SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1638-Orlando-St-SW-Atlanta-GA-30311/35848356_zpid/,"$425,000",House for sale,5 bds,3 ba,"3,156 sqft","$416,830",Single Family,1950,Forced air,Central,3 spaces,0.29 acres,$135,Candidate for a community solar programSun Number™: 20.22,"$2,088",$0/mo,"$1,560/mo",$379/mo,$149/mo,$0/mo,Not included
"3224 Topaz Ln SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3224-Topaz-Ln-SW-Atlanta-GA-30331/35869131_zpid/,"$215,000",House for sale,4 bds,4 ba,"2,716 sqft","$208,384",Single Family,1972,Forced air,Central,2 spaces,0.7 acres,$79,"{""targetDiv"":""gpt-ad-c0fcf5b9-45ea-4efb-b544-4de908ea1129"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""3224 Topaz Ln SW"",""bd"":""4"",""fsbid"":""15050"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35869131"",""lot"":""4"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""zguidh"":""5509054303316534359"",""sqftrange"":""2500-2999"",""price"":""215000"",""sqft"":""2716"",""posting_url"":""http://www.TheRealEstateMaven.net"",""mlong"":""-84.493724"",""state"":""GA"",""park"":""yes"",""prange"":""200-249k"",""zip"":""30331"",""mlat"":""33.674408"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS337iltkwzdzk1000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Greenbriar"",""yrblt"":""1970-1979"",""zestimate"":""208384"",""premieragent"":""no""}}","$1,078",$0/mo,$811/mo,$192/mo,$75/mo,$0/mo,Not included
