Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"17 Louisburg Sq, Boston, MA 02108",https://www.zillow.com/homedetails/17-Louisburg-Sq-Boston-MA-02108/59166308_zpid/,"$20,500,000",House for sale,"7,610 sqft",5 bds,5 ba,"$19,401,786",Single Family,1899,Heat pump,Central,2 spaces,"1,742 sqft","$2,694",Great solar potentialSun Number™: 90.38,"$101,532","$80,007/mo",$0/mo,"$14,350/mo","$7,175/mo",$0/mo,Not included
"12 Coleus Park, Boston, MA 02121",https://www.zillow.com/homedetails/12-Coleus-Park-Boston-MA-02121/68006973_zpid/,"$286,434",House for sale,"3,832 sqft",5 bds,2 ba,"$280,720",Single Family,1970,Baseboard,Other,No Data,"4,356 sqft",$75,Good solar potentialSun Number™: 68.78,"$1,359","$1,058/mo",$0/mo,$201/mo,$100/mo,$0/mo,Not included
"19 Carroll St, Boston, MA 02132",https://www.zillow.com/homedetails/19-Carroll-St-Boston-MA-02132/59157757_zpid/,"$520,000",House for sale,"1,352 sqft",3 bds,1 ba,"$535,055",Single Family,1930,Other,None,1 space,"8,276 sqft",$385,Good solar potentialSun Number™: 69.34,"$2,467","$1,921/mo",$0/mo,$364/mo,$182/mo,$0/mo,Not included
"156 Porter St APT 123, East Boston, MA 02128",https://www.zillow.com/homedetails/156-Porter-St-APT-123-East-Boston-MA-02128/71489369_zpid/,"$401,226",Condo for sale,955 sqft,2 bds,1 ba,"$390,372",Condo,1910,Forced air,Central,1 space,$274/month,$420,Great solar potentialSun Number™: 91.4,"$2,178","$1,482/mo",$0/mo,$281/mo,$140/mo,$274/mo,Not included
"11 Walker St, Boston, MA 02129",https://www.zillow.com/homedetails/11-Walker-St-Boston-MA-02129/59100526_zpid/,"$1,050,000",House for sale,"1,769 sqft",3 bds,3 ba,"$1,024,604",Single Family,2011,Forced air,Central,No Data,871 sqft,$594,Great solar potentialSun Number™: 93.2,"$5,200","$4,098/mo",$0/mo,$735/mo,$368/mo,$0/mo,Not included
"144 Child St, Boston, MA 02136",https://www.zillow.com/homedetails/144-Child-St-Boston-MA-02136/59127734_zpid/,"$539,000",Apartment for sale,"2,045 sqft",5 bds,3 ba,"$549,781",Multi Family,1918,Other,No Data,3 spaces,$264,,Great solar potentialSun Number™: 83.82,"$2,557","$1,991/mo",$0/mo,$377/mo,$189/mo,$0/mo,Not included
"121 Salem St APT 5D, Boston, MA 02113",https://www.zillow.com/homedetails/121-Salem-St-APT-5D-Boston-MA-02113/59181232_zpid/,"$450,000",Condo for sale,495 sqft,1 bd,1 ba,"$439,849",Condo,1920,Other,None,1 space,$186/month,$909,Great solar potentialSun Number™: 94.38,"$2,321","$1,663/mo",$0/mo,$315/mo,$158/mo,$186/mo,Not included
"124 Everett St # 2, East Boston, MA 02128",https://www.zillow.com/homedetails/124-Everett-St-2-East-Boston-MA-02128/67398919_zpid/,"$350,000",Condo for sale,509 sqft,2 bds,1 ba,"$341,097",Condo,1900,Forced air,Central,On street,$184/month,$688,Candidate for a community solar programSun Number™: 21.8,"$1,845","$1,293/mo",$0/mo,$245/mo,$123/mo,$184/mo,Not included
"47 Sargent St # 2, Boston, MA 02125",https://www.zillow.com/homedetails/47-Sargent-St-2-Boston-MA-02125/2082076576_zpid/,"$499,000",Condo for sale,"1,260 sqft",2 bds,2 ba,"$409,848",Condo,2019,Forced air,Central,No Data,$198/month,$396,,"$2,566","$1,844/mo",$0/mo,$349/mo,$175/mo,$198/mo,Not included
"43 Knoll St, Boston, MA 02131",https://www.zillow.com/homedetails/43-Knoll-St-Boston-MA-02131/59142175_zpid/,"$649,000",Apartment for sale,"1,614 sqft",3 bds,2 ba,"$649,003",Multi Family,1920,Other,No Data,1 space,$402,,Great solar potentialSun Number™: 88.18,"$3,083","$2,401/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
