Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"779 E 236th St, Bronx, NY 10466",https://www.zillow.com/homedetails/779-E-236th-St-Bronx-NY-10466/29838236_zpid/,"$549,000",For sale by owner,3 bds,2 ba,"2,518 sqft","$587,270",Single Family,1935,Other,Central,1 space,"3,040 sqft",$218,Great solar potentialSun Number™: 87.8,"$2,871","$2,244/mo",$0/mo,$435/mo,$192/mo,$0/mo,Not included
"85 Jay St # 11L-FRONT, Brooklyn, NY 11201",https://www.zillow.com/homedetails/85-Jay-St-11L-FRONT-Brooklyn-NY-11201/2082060009_zpid/,"$2,705,000",Condo for sale,3 bds,3 ba,"1,630 sqft",,Condo,No Data,No Data,Central,No Data,"$1,914/month","$1,660",,"$15,127","$10,801/mo",$0/mo,"$1,465/mo",$947/mo,"$1,914/mo",Not included
"12908 232nd St, Laurelton, NY 11413",https://www.zillow.com/homedetails/12908-232nd-St-Laurelton-NY-11413/32198872_zpid/,"$499,990",House for sale,3 bds,2 ba,"1,182 sqft","$515,220",Single Family,1950,Other,Central,No Data,"3,950 sqft",$423,Great solar potentialSun Number™: 95.01,"$2,569","$2,044/mo",$0/mo,$350/mo,$175/mo,$0/mo,Not included
"4017 150th St, Flushing, NY 11354",https://www.zillow.com/homedetails/4017-150th-St-Flushing-NY-11354/32038732_zpid/,"$1,450,000",House for sale,3 bds,2 ba,"1,000 sqft",,Single Family,1919,No Data,No Data,No Data,"2,500 sqft","$1,450",Limited solar potentialSun Number™: 56.6,"$7,312","$5,790/mo",$0/mo,"$1,015/mo",$508/mo,$0/mo,Not included
"6043 59th Dr, Flushing, NY 11378",https://www.zillow.com/homedetails/6043-59th-Dr-Flushing-NY-11378/31987296_zpid/,"$749,000",House for sale,3 bds,1 ba,"1,240 sqft","$653,514",Single Family,1915,Other,No Data,Attached Garage,"1,999 sqft",$604,Candidate for a community solar programSun Number™: 22.99,"$3,698","$2,912/mo",$0/mo,$524/mo,$262/mo,$0/mo,Not included
"11921 180th St, Jamaica, NY 11434",https://www.zillow.com/homedetails/11921-180th-St-Jamaica-NY-11434/32190883_zpid/,"$529,000",House for sale,4 bds,1 ba,"1,617 sqft","$461,840",Single Family,1940,Radiant,No Data,Attached Garage,"2,134 sqft",$327,,"$2,718","$2,163/mo",$0/mo,$370/mo,$185/mo,$0/mo,Not included
"87 Suydam St # MF, Brooklyn, NY 11221",https://www.zillow.com/homedetails/87-Suydam-St-MF-Brooklyn-NY-11221/2082060327_zpid/,"$1,600,000",Apartment for sale,12 bds,6 ba,-- sqft,,Multi Family,1931,No Data,No Data,No Data,No Data,,Candidate for a community solar programSun Number™: 23.05,"$7,815","$6,389/mo",$0/mo,$867/mo,$560/mo,$0/mo,Not included
"6910 108th St APT 3G, Forest Hills, NY 11375",https://www.zillow.com/homedetails/6910-108th-St-APT-3G-Forest-Hills-NY-11375/219853282_zpid/,"$339,000",Co-op for sale,1 bd,1 ba,750 sqft,"$339,834",Cooperative,1953,No Data,No Data,No Data,$452,,Great solar potentialSun Number™: 94.2,"$2,515","$1,386/mo",$0/mo,$237/mo,$119/mo,$773/mo,Not included
"153 86th St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/153-86th-St-Brooklyn-NY-11209/30699449_zpid/,"$2,200,000",House for sale,5 bds,5 ba,"3,050 sqft","$2,293,447",Single Family,1950,No Data,No Data,Attached Garage,"5,007 sqft",$721,Great solar potentialSun Number™: 86.2,"$10,746","$8,784/mo",$0/mo,"$1,192/mo",$770/mo,$0/mo,Not included
"61 E 77th St APT 8E, New York, NY 10075",https://www.zillow.com/homedetails/61-E-77th-St-APT-8E-New-York-NY-10075/124867950_zpid/,"$445,000",Co-op for sale,Studio,1 ba,-- sqft,"$432,349",Cooperative,1920,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 80.59,"$3,701","$1,819/mo",$0/mo,$326/mo,$156/mo,"$1,400/mo",Not included
