Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"102 SW 6th Ave APT 707, Miami, FL 33130",https://www.zillow.com/homedetails/102-SW-6th-Ave-APT-707-Miami-FL-33130/64684709_zpid/,"$249,000",Condo for sale,"1,032 sqft","$222,242",Condo,2005,Forced air,Central,2 spaces,$441/month,$241,Great solar potentialSun Number™: 91.02,"$1,708",$947/mo,$0/mo,$232/mo,$87/mo,$441/mo,Not included
"3590 Coral Way APT 711, Miami, FL 33145",https://www.zillow.com/homedetails/3590-Coral-Way-APT-711-Miami-FL-33145/70767031_zpid/,"$365,000",Condo for sale,"1,053 sqft",,Condo,2005,Forced air,Central,2 spaces,$324/month,$347,Great solar potentialSun Number™: 94.22,"$2,154","$1,361/mo",$0/mo,$341/mo,$128/mo,$324/mo,Not included
"999 SW 1st Ave APT 2203, Miami, FL 33130",https://www.zillow.com/homedetails/999-SW-1st-Ave-APT-2203-Miami-FL-33130/162032546_zpid/,"$410,000",For sale by owner,937 sqft,"$350,172",Condo,2015,No Data,No Data,Attached Garage,$541/month,$438,Great solar potentialSun Number™: 94.3,"$2,596","$1,529/mo",$0/mo,$383/mo,$144/mo,$541/mo,Not included
"1010 SW 2nd Ave UNIT 1403, Miami, FL 33130",https://www.zillow.com/homedetails/1010-SW-2nd-Ave-UNIT-1403-Miami-FL-33130/247701223_zpid/,"$550,000",Condo for sale,"1,273 sqft","$556,384",Condo,2016,Forced air,Central,No Data,$987/month,$432,Good solar potentialSun Number™: 69.5,"$3,744","$2,051/mo",$0/mo,$513/mo,$193/mo,$987/mo,Not included
"900 Biscayne Blvd APT 2709, Miami, FL 33132",https://www.zillow.com/homedetails/900-Biscayne-Blvd-APT-2709-Miami-FL-33132/92449963_zpid/,"$775,000",Condo for sale,"1,579 sqft","$852,929",Condo,2008,Forced air,Central,No Data,"$1,237/month",$491,Great solar potentialSun Number™: 94.3,"$5,252","$3,020/mo",$0/mo,$723/mo,$271/mo,"$1,237/mo",Not included
"680 NE 64th St APT A309, Miami, FL 33138",https://www.zillow.com/homedetails/680-NE-64th-St-APT-A309-Miami-FL-33138/64866583_zpid/,"$289,000",Condo for sale,990 sqft,,Condo,1972,Heat pump,Central,2 spaces,$559/month,$292,Great solar potentialSun Number™: 83,"$2,008","$1,078/mo",$0/mo,$270/mo,$101/mo,$559/mo,Not included
"601 NE 27th St APT 908, Miami, FL 33137",https://www.zillow.com/homedetails/601-NE-27th-St-APT-908-Miami-FL-33137/2096643136_zpid/,"$485,000",Condo for sale,"1,140 sqft","$484,407",Condo,2016,Forced air,Central,Attached Garage,$656/month,$425,Great solar potentialSun Number™: 93.4,"$3,087","$1,809/mo",$0/mo,$453/mo,$170/mo,$656/mo,Not included
"165 NW 68th Ter # A, Miami, FL",https://www.zillow.com/homedetails/165-NW-68th-Ter-A-Miami-FL-33150/2082060139_zpid/,"$379,000",New construction,-- sqft,,Townhouse,2019,Forced air,Central,2 spaces,No Data,No Data,,"$1,900","$1,413/mo",$0/mo,$354/mo,$133/mo,$0/mo,Not included
"169 NE 44th St, Miami, FL 33137",https://www.zillow.com/homedetails/169-NE-44th-St-Miami-FL-33137/80787075_zpid/,"Est. $982,751",Pre-foreclosure,"1,000 sqft","$4,499",Contact manager,Apartment,Wall,Forced air,"Cats, small dogs",4 spaces,In Unit,,,,,,,,
"68 SE 6th St APT 1609, Miami, FL 33131",https://www.zillow.com/homedetails/68-SE-6th-St-APT-1609-Miami-FL-33131/247650795_zpid/,"$840,000",Condo for sale,"1,370 sqft","$940,423",Condo,2016,Electric,Central,No Data,"$1,100/month",$613,Great solar potentialSun Number™: 89.5,"$5,451","$3,273/mo",$0/mo,$784/mo,$294/mo,"$1,100/mo",Not included
"1600 NE 1st Ave APT 2904, Miami, FL",https://www.zillow.com/homedetails/1600-NE-1st-Ave-APT-2904-Miami-FL-33132/2082060965_zpid/,"$400,000",New construction,582 sqft,,Condo,2018,Electric,Central,No Data,$371/month,$687,,"$2,376","$1,492/mo",$0/mo,$373/mo,$140/mo,$371/mo,Not included
"201 SW 17th Rd UNIT 311, Miami, FL 33129",https://www.zillow.com/homedetails/201-SW-17th-Rd-UNIT-311-Miami-FL-33129/247700713_zpid/,"$525,000",Condo for sale,746 sqft,,Condo,2016,Forced air,Central,1 space,$569/month,$704,Great solar potentialSun Number™: 87.9,"$3,201","$1,958/mo",$0/mo,$490/mo,$184/mo,$569/mo,Not included
"1000 SW 22nd Ave, Miami, FL 33135",https://www.zillow.com/homedetails/1000-SW-22nd-Ave-Miami-FL-33135/43850474_zpid/,"$599,000",Apartment for sale,"1,613 sqft",,Multi Family,1946,Forced air,Central,Carport,$371,,Great solar potentialSun Number™: 89.43,"$2,957","$2,188/mo",$0/mo,$559/mo,$210/mo,$0/mo,Not included
