Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"319 Lakemoore Dr NE APT B, Atlanta, GA 30342",https://www.zillow.com/homedetails/319-Lakemoore-Dr-NE-APT-B-Atlanta-GA-30342/35933928_zpid/,"$200,000",2 bds,2 ba,-- sqft,"$204,696",Condo,1952,Forced air,Central,2 spaces,No Data,No Data,"$1,034"
"250 Pharr Rd NE APT 1601, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-1601-Atlanta-GA-30305/69375059_zpid/,"$375,000",2 bds,2 ba,"1,056 sqft","$362,008",Condo,2004,Forced air,Central,2 spaces,$431/month,$355,"$2,276"
"2152 Main St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2152-Main-St-NW-Atlanta-GA-30318/35923873_zpid/,"$275,000",4 bds,2 ba,"1,321 sqft","$284,700",Single Family,1930,Forced air,Central,Off street,0.44 acres,$208,"$1,353"
"4280 W Club Ln NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/4280-W-Club-Ln-NE-Atlanta-GA-30319/35903157_zpid/,"$1,749,000",5 bds,5 ba,"4,516 sqft","$1,745,795",Single Family,2000,Forced air,Central,No Data,0.49 acres,$387,"$8,861"
"3777 Peachtree Rd NE APT 534, Brookhaven, GA 30319",https://www.zillow.com/homedetails/3777-Peachtree-Rd-NE-APT-534-Brookhaven-GA-30319/2098262436_zpid/,"$289,900",3 bds,2 ba,"1,402 sqft","$267,000",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$592/month,$207,"$2,018"
"2987 Northside Dr NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/2987-Northside-Dr-NW-Atlanta-GA-30305/69381492_zpid/,"$1,200,000",3 bds,4 ba,"2,736 sqft",,Single Family,2004,"Forced air, Radiant",Central,2 spaces,0.54 acres,$439,"$6,079"
"1747 Moores Mill Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1747-Moores-Mill-Rd-NW-Atlanta-GA-30318/35920219_zpid/,"$435,000",4 bds,2 ba,"1,375 sqft","$447,904",Single Family,1952,Other,"Central, Other",Off street,0.28 acres,$316,"$2,140"
"3660 Peachtree Rd NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/3660-Peachtree-Rd-NE-Atlanta-GA-30319/35895224_zpid/,"$222,000",2 bds,2 ba,"1,200 sqft","$220,721",Single Family,1955,Forced air,Other,1 space,"1,197 sqft",$185,"$1,482"
"3462 Landen Pine Ct NE # 29, Atlanta, GA",https://www.zillow.com/homedetails/3462-Landen-Pine-Ct-NE-29-Atlanta-GA-30305/2082098306_zpid/,"$839,900",4 bds,4 ba,"2,806 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$299,"$4,550"
"3003 Rivermeade Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3003-Rivermeade-Dr-NW-Atlanta-GA-30327/35922278_zpid/,"$1,050,000",4 bds,5 ba,"5,315 sqft","$1,228,108",Single Family,1968,Forced air,Central,Attached Garage,1 acre,$198,"$5,369"
"261 Devin Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/261-Devin-Pl-NE-Atlanta-GA-30305/2082098690_zpid/,"$996,635",3 bds,4 ba,"3,310 sqft",,Townhouse,No Data,No Data,No Data,2 spaces,No Data,$301,"$5,049"
"3533 Roxboro Rd NE UNIT 2, Atlanta, GA 30326",https://www.zillow.com/homedetails/3533-Roxboro-Rd-NE-UNIT-2-Atlanta-GA-30326/2117630721_zpid/,"$985,000",3 bds,5 ba,"2,696 sqft",,Townhouse,2001,Forced air,Central,2 spaces,"3,175 sqft",$365,"$5,890"
"1198 Milmar Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1198-Milmar-Dr-NW-Atlanta-GA-30327/35914787_zpid/,"$675,000",3 bds,2 ba,"1,734 sqft","$649,396",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,$389,"$3,420"
"3081 Peachtree Dr NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/3081-Peachtree-Dr-NE-Atlanta-GA-30305/35928689_zpid/,"$1,125,000",4 bds,3 ba,"3,073 sqft","$1,207,763",Single Family,1938,Forced air,Central,Detached Garage,0.46 acres,$366,"$5,699"
"0 Pine Meadow Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-NW-Atlanta-GA-30327/2084416557_zpid/,"$449,900",0.73 acres lot,,,,,,,,,,,"$2,213"
"1091 E Paces Ln, Atlanta, GA 30326",https://www.zillow.com/homedetails/1091-E-Paces-Ln-Atlanta-GA-30326/2132496601_zpid/,"$515,000",3 bds,4 ba,"2,808 sqft","$481,090",Townhouse,2010,Forced air,Central,No Data,871 sqft,$183,"$2,708"
"1057 Ferncliff Rd NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1057-Ferncliff-Rd-NE-Atlanta-GA-30324/35938490_zpid/,"$615,000",3 bds,2 ba,"1,336 sqft","$539,827",Single Family,1954,Other,Central,2 spaces,1.15 acres,$460,"$3,116"
"0 Pine Meadow Rd, Atlanta, GA 30327",https://www.zillow.com/homedetails/0-Pine-Meadow-Rd-Atlanta-GA-30327/2097295384_zpid/,"$449,900",0.73 acres lot,,,,,,,,,,,"$2,213"
