Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"2248 Ridgedale Rd NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2248-Ridgedale-Rd-NE-Atlanta-GA-30317/14465771_zpid/,"$375,000",House for sale,2 ba,3 bds,"1,484 sqft","$424,378",Single Family,1946,Forced air,Central,2 spaces,0.4 acres,$253,"$1,855"
"139 Whitefoord Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/139-Whitefoord-Ave-NE-Atlanta-GA-30307/89584579_zpid/,"$535,000",Townhouse for sale,3 ba,3 bds,"1,728 sqft","$437,444",Townhouse,2008,Forced air,Central,3 spaces,"4,356 sqft",$310,"$2,644"
"120 Candler Dr, Decatur, GA 30030",https://www.zillow.com/homedetails/120-Candler-Dr-Decatur-GA-30030/14464707_zpid/,"$550,000",House for sale,1 ba,3 bds,"1,350 sqft",,Single Family,1946,Other,Other,No Data,0.3 acres,$407,"$2,719"
"713 Moreland Ave SE # 3, Atlanta, GA 30316",https://www.zillow.com/homedetails/713-Moreland-Ave-SE-3-Atlanta-GA-30316/2088168331_zpid/,"$524,900",Townhouse for sale,4 ba,3 bds,"1,978 sqft","$534,986",Townhouse,2019,Heat pump,Central,2 spaces,No Data,$265,"$2,602"
"230 Degress Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/230-Degress-Ave-NE-Atlanta-GA-30307/35843269_zpid/,"$465,000",House for sale,2 ba,2 bds,"1,260 sqft",,Single Family,1920,Forced air,Central,No Data,"7,680 sqft",$369,"$2,283"
"1287 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1287-Euclid-Ave-NE-Atlanta-GA-30307/14479162_zpid/,"$475,000",House for sale,2 ba,4 bds,"1,614 sqft","$540,887",Single Family,1920,Forced air,Central,2 spaces,"8,712 sqft",$294,"$2,348"
"470 Monument Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/470-Monument-Ave-SE-Atlanta-GA-30316/14456527_zpid/,"$345,000",House for sale,2 ba,2 bds,"1,792 sqft","$396,129",Single Family,1925,Forced air,Central,No Data,"8,712 sqft",$193,"$1,705"
"490 N Highland Ave NE UNIT 1B, Atlanta, GA 30307",https://www.zillow.com/homedetails/490-N-Highland-Ave-NE-UNIT-1B-Atlanta-GA-30307/82618814_zpid/,"$600,000",Condo for sale,3 ba,2 bds,"1,332 sqft","$585,314",Condo,2002,Forced air,Central,2 spaces,$444/month,$450,"$3,393"
"2129 Hosea L Williams Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2129-Hosea-L-Williams-Dr-SE-Atlanta-GA-30317/14466081_zpid/,"$619,900",House for sale,3 ba,4 bds,"1,780 sqft","$587,727",Single Family,1986,Forced air,Central,No Data,0.3 acres,$348,"$3,154"
"Alder Plan, Bixton",https://www.zillow.com/community/bixton/2082448195_zpid/,"$471,900+",New construction,4 ba,3 bds,"2,400 sqft","$462,403",Single Family,2019,No Data,No Data,2 spaces,No Data,$197,"$2,333"
"564 Goldsboro Rd NE APT B, Atlanta, GA 30307",https://www.zillow.com/homedetails/564-Goldsboro-Rd-NE-APT-B-Atlanta-GA-30307/112833038_zpid/,"$160,024",Auction,1 ba,2 bds,840 sqft,,Condo,1951,Forced air,Central,1 space,No Data,,$821
"82 Rogers St NE, Atlanta, GA",https://www.zillow.com/homedetails/82-Rogers-St-NE-Atlanta-GA-30317/2082132271_zpid/,"$650,217",New construction,4 ba,3 bds,"2,133 sqft","$623,168",Single Family,2019,No Data,No Data,2 spaces,No Data,$305,"$3,308"
"Clifton Plan, Bixton",https://www.zillow.com/community/bixton/2082448196_zpid/,"$566,900+",New construction,3 ba,3 bds,"2,558 sqft","$555,434",Single Family,2019,No Data,No Data,2 spaces,No Data,$222,"$2,805"
"56 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-Atlanta-GA-30317/14467914_zpid/,"$324,900",House for sale,1 ba,2 bds,"1,002 sqft","$294,307",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,606"
"621 Moreland Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/621-Moreland-Ave-SE-Atlanta-GA-30316/59934151_zpid/,"$574,900",New construction,3 ba,4 bds,"2,548 sqft","$554,367",Single Family,2019,Forced air,Central,Detached Garage,"7,492 sqft",$226,"$2,844"
"412 E Side Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/412-E-Side-Ave-SE-Atlanta-GA-30316/14456894_zpid/,"$814,000",House for sale,3 ba,4 bds,"2,727 sqft","$807,599",Single Family,1935,Gas,No Data,No Data,"10,454 sqft",$298,"$4,141"
"173 Albright Way # 13, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-13-Atlanta-GA-30317/2082154548_zpid/,"$599,900",New construction,4 ba,3 bds,"2,413 sqft","$573,139",Single Family,2019,Forced air,Central,Attached Garage,No Data,$249,"$3,088"
"173 Albright Way, Atlanta, GA",https://www.zillow.com/homedetails/173-Albright-Way-Atlanta-GA-30317/2082155035_zpid/,"$599,900",New construction,4 ba,3 bds,"2,412 sqft","$574,372",Single Family,2018,No Data,No Data,No Data,No Data,$249,"$3,088"
"56 Vinson Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Vinson-Dr-SE-Atlanta-GA-30317/14467414_zpid/,"$249,000",House for sale,1 ba,2 bds,896 sqft,"$233,630",Single Family,1947,Forced air,None,Detached Garage,"7,200 sqft",$278,"$1,278"
"56 Mortimer St SE # NA, Atlanta, GA 30317",https://www.zillow.com/homedetails/56-Mortimer-St-SE-NA-Atlanta-GA-30317/2082163286_zpid/,"$324,900",House for sale,1 ba,2 bds,"1,002 sqft","$305,156",Single Family,1925,Forced air,Central,1 space,"8,712 sqft",$324,"$1,606"
"1189 Mclendon Ave NE APT 2, Atlanta, GA 30307",https://www.zillow.com/homedetails/1189-Mclendon-Ave-NE-APT-2-Atlanta-GA-30307/14468537_zpid/,"$147,000",Condo for sale,1 ba,1 bd,684 sqft,"$134,599",Condo,1925,No Data,Central,No Data,$225/month,$215,$980
"75 Weatherby St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/75-Weatherby-St-SE-Atlanta-GA-30316/35839077_zpid/,"$315,000",House for sale,1 ba,2 bds,756 sqft,"$303,333",Single Family,1955,Other,Central,No Data,"4,573 sqft",$417,"$1,546"
