Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"948 Margaret Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/948-Margaret-Pl-NW-Atlanta-GA-30318/35921175_zpid/,"$110,000",House for sale,3 bds,1 ba,"1,016 sqft","$129,425",Single Family,1957,Forced air,Central,No Data,0.26 acres,$108,$587
"890 Memorial Dr SE UNIT 102, Atlanta, GA 30316",https://www.zillow.com/homedetails/890-Memorial-Dr-SE-UNIT-102-Atlanta-GA-30316/121353197_zpid/,"$350,000",Condo for sale,2 bds,2 ba,"1,037 sqft","$338,576",Condo,2008,Forced air,Central,No Data,No Data,$338,"$1,719"
"1101 Juniper St NE APT 423, Atlanta, GA 30309",https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-423-Atlanta-GA-30309/55019398_zpid/,"$379,900",Condo for sale,2 bds,2 ba,"1,169 sqft","$353,136",Condo,1999,Forced air,Central,4 spaces,$433/month,$325,"$2,299"
"2184 Willow Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2184-Willow-Ave-NE-Atlanta-GA-30305/35900803_zpid/,"$509,000",House for sale,3 bds,2 ba,"2,100 sqft","$620,458",Single Family,1935,Other,Central,2 spaces,"6,865 sqft",$242,"$2,500"
"800 Peachtree St NE APT 107, Atlanta, GA 30308",https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-107-Atlanta-GA-30308/2088474535_zpid/,"$249,000",Condo for sale,1 bd,1 ba,891 sqft,,Condo,1927,Forced air,Central,No Data,No Data,$279,"$1,268"
"1101 Juniper St NE APT 1008, Atlanta, GA 30309",https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-1008-Atlanta-GA-30309/55019561_zpid/,"$240,000",Condo for sale,1 bd,1 ba,723 sqft,"$223,295",Condo,1999,Forced air,Central,2 spaces,$296/month,$332,"$1,518"
"361 17th St NW UNIT 2016, Atlanta, GA 30363",https://www.zillow.com/homedetails/361-17th-St-NW-UNIT-2016-Atlanta-GA-30363/71756708_zpid/,"$364,900",Condo for sale,2 bds,2 ba,"1,167 sqft","$365,588",Condo,2005,Forced air,Central,Attached Garage,$550/month,$313,"$2,342"
"212 Berean Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/212-Berean-Ave-SE-Atlanta-GA-30316/35862513_zpid/,"$289,000",Condo for sale,2 bds,1 ba,879 sqft,"$277,119",Condo,1964,Forced air,Central,1 space,$158/month,$329,"$1,577"
"1020 Parsons St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1020-Parsons-St-SW-Atlanta-GA-30314/35834699_zpid/,"$285,000",House for sale,3 bds,2 ba,"1,220 sqft",,Single Family,1924,Forced air,Central,No Data,"5,009 sqft",$234,"$1,400"
"2194 Edison Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2194-Edison-Ave-NE-Atlanta-GA-30305/35897155_zpid/,"$1,200,000",For sale by owner,6 bds,6 ba,"3,503 sqft","$1,162,649",Single Family,2007,"Forced air, Other",Central,2 spaces,"10,019 sqft",$343,"$6,089"
"95 Bill Lucas Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/95-Bill-Lucas-Dr-SE-Atlanta-GA-30315/69345545_zpid/,"$399,900",House for sale,3 bds,3 ba,"1,855 sqft",,Single Family,2005,Heat pump,Central,Attached Garage,"2,090 sqft",$216,"$1,964"
"837 Oak St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/837-Oak-St-NW-Atlanta-GA-30318/35856854_zpid/,"$80,000",For sale by owner,2 bds,1 ba,1 sqft,"$71,937",Single Family,1940,Heat pump,Central,No Data,"5,662 sqft","$80,000",$427
"488 Joseph E Lowery Blvd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/488-Joseph-E-Lowery-Blvd-NW-Atlanta-GA-30314/35833812_zpid/,"$89,000",For sale by owner,2 bds,1 ba,853 sqft,"$93,811",Single Family,1930,Forced air,Central,No Data,"6,969 sqft",$104,$475
"2152 Main St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2152-Main-St-NW-Atlanta-GA-30318/35923873_zpid/,"$275,000",House for sale,4 bds,2 ba,"1,472 sqft","$284,156",Single Family,1930,Forced air,Central,Off street,0.44 acres,$187,"$1,351"
"1905 Whittier Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1905-Whittier-Ave-NW-Atlanta-GA-30318/35924087_zpid/,"$330,000",House for sale,2 bds,2 ba,"1,192 sqft","$331,955",Single Family,1904,Gas,Central,2 spaces,"5,532 sqft",$277,"$1,621"
"1019 Longley Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1019-Longley-Ave-NW-Atlanta-GA-30318/65442170_zpid/,"$449,000",House for sale,3 bds,3 ba,"2,118 sqft",,Single Family,2000,Forced air,Central,4 spaces,"7,274 sqft",$212,"$2,205"
"77 Peachtree Pl NE UNIT 509, Atlanta, GA 30309",https://www.zillow.com/homedetails/77-Peachtree-Pl-NE-UNIT-509-Atlanta-GA-30309/65469129_zpid/,"$869,900",Condo for sale,2 bds,3 ba,"1,757 sqft",,Condo,2001,"Forced air, Heat pump",Central,4 spaces,"$1,018/month",$495,"$5,432"
"950 W Peachtree St NW UNIT 1310, Atlanta, GA 30309",https://www.zillow.com/homedetails/950-W-Peachtree-St-NW-UNIT-1310-Atlanta-GA-30309/2082892209_zpid/,"$316,900",Condo for sale,1 bd,1 ba,866 sqft,"$329,761",Condo,2006,No Data,No Data,2 spaces,$345/month,$366,"$1,902"
"1290 N Morningside Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1290-N-Morningside-Dr-NE-Atlanta-GA-30306/2082096205_zpid/,"$749,000",House for sale,2 bds,2 ba,"1,569 sqft",,Single Family,1925,Forced air,Central,Detached Garage,"8,015 sqft",$477,"$3,801"
"634 Delmar Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/634-Delmar-Ave-SE-Atlanta-GA-30312/35867716_zpid/,"$765,000",House for sale,5 bds,3 ba,"3,108 sqft",,Single Family,1920,Forced air,Central,No Data,"8,102 sqft",$246,"$3,882"
"855 Peachtree St NE UNIT 2608, Atlanta, GA 30308",https://www.zillow.com/homedetails/855-Peachtree-St-NE-UNIT-2608-Atlanta-GA-30308/92193686_zpid/,"$359,000",Condo for sale,1 bd,1 ba,802 sqft,"$345,836",Condo,2008,Forced air,Central,Attached Garage,$384/month,$448,"$2,147"
"887 Proctor Oaks St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/887-Proctor-Oaks-St-NW-Atlanta-GA-30318/283676895_zpid/,"$415,000",Townhouse for sale,4 bds,4 ba,"2,492 sqft","$396,765",Townhouse,2017,Forced air,Central,4 spaces,"3,920 sqft",$167,"$2,238"
"195 14th St NE UNIT 901, Atlanta, GA 30309",https://www.zillow.com/homedetails/195-14th-St-NE-UNIT-901-Atlanta-GA-30309/65469490_zpid/,"$219,000",Condo for sale,1 bd,1 ba,720 sqft,"$228,923",Condo,2002,Forced air,Central,1 space,$26/month,$304,"$1,147"
"Coming Soon Plan, Main Street Commons",https://www.zillow.com/community/main-street-commons/2082274040_zpid/,$--,New construction,-- bds,-- ba,-- sqft,,Single Family,2019,No Data,No Data,No Data,No Data,No Data,$0
"563 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/563-Angier-Ave-NE-Atlanta-GA-30308/82628581_zpid/,"$649,900",Coming soon,4 bds,3 ba,"2,412 sqft","$643,751",Single Family,1920,Forced air,Central,2 spaces,"3,607 sqft",$269,"$3,298"
"1183 Oak St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1183-Oak-St-SW-Atlanta-GA-30310/35835258_zpid/,"$256,621",Auction,4 bds,4 ba,"1,974 sqft",,Single Family,1920,Forced air,Central,No Data,"8,712 sqft",,"$1,260"
"1481 Talia Wood Cir NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1481-Talia-Wood-Cir-NW-Atlanta-GA-30314/88823438_zpid/,$--,Auction,3 bds,-- ba,"2,472 sqft",,Single Family,2007,Forced air,Central,No Data,"1,307 sqft",,$0
"230 Degress Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/230-Degress-Ave-NE-Atlanta-GA-30307/35843269_zpid/,"$465,000",House for sale,2 bds,2 ba,"1,260 sqft",,Single Family,1920,Forced air,Central,No Data,"7,680 sqft",$369,"$2,284"
"247 Stovall St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/247-Stovall-St-SE-Atlanta-GA-30316/35839196_zpid/,"$450,000",House for sale,3 bds,2 ba,"1,200 sqft","$442,592",Single Family,1925,"Baseboard, Forced air",Central,2 spaces,"5,000 sqft",$375,"$2,210"
"751 Kennolia Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/751-Kennolia-Dr-SW-Atlanta-GA-30310/35854888_zpid/,"$140,000",Lot / Land for sale,0.27 acres lot,,,"$137,057",,,,,,,,$717
"1150 Collier Rd NW APT M2, Atlanta, GA 30318",https://www.zillow.com/homedetails/1150-Collier-Rd-NW-APT-M2-Atlanta-GA-30318/69365329_zpid/,"$139,900",House for sale,1 bd,1 ba,775 sqft,,Single Family,2004,Forced air,Central,No Data,784 sqft,$181,$985
"1470 S Gordon St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1470-S-Gordon-St-SW-Atlanta-GA-30310/2082103166_zpid/,"$419,000",House for sale,3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",$227,"$2,058"
