Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"700 Park Regency Pl NE APT 1905, Atlanta, GA 30326",https://www.zillow.com/homedetails/700-Park-Regency-Pl-NE-APT-1905-Atlanta-GA-30326/65466455_zpid/,Sold 11/08/2019,"$650,000 ",3 bds,3.5 ba,"2,495 sqft",Condo,2001,2001,"Forced air, Heat pump",Central,Attached Garage,"$1,549/month",,"$650,138 ","$605,000 - $696,000","-$188,910 (-22.5 %)"
"270 17th St NW UNIT 4001, Atlanta, GA 30363",https://www.zillow.com/homedetails/270-17th-St-NW-UNIT-4001-Atlanta-GA-30363/2083278257_zpid/,Sold 11/07/2019,"$900,000 ",3 bds,3 ba,"2,092 sqft",Condo,2009,2009,"Forced air, Heat pump",Central,2 spaces,$728/month,,"$900,224 ","$837,000 - $963,000","-$22,214 (-2.4 %)"
"4 Pendleton Pl NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/4-Pendleton-Pl-NE-Atlanta-GA-30342/35941873_zpid/,Sold 11/05/2019,"$374,000 ",3 bds,3 ba,"1,400 sqft",Condo,1975,1975,Forced air,Central,2 spaces,$389/month,,"$374,119 ","$348,000 - $400,000","+$6,821 (+1.9 %)"
"28109 Plantation Dr NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/28109-Plantation-Dr-NE-Atlanta-GA-30324/35935968_zpid/,Sold 10/31/2019,"$340,000 ",3 bds,3 ba,"1,860 sqft",Condo,1986,1986,Forced air,Central,Attached Garage,$510/month,,"$340,163 ","$316,000 - $364,000","+$46,983 (+16.0 %)"
"3047 Lenox Rd NE APT 1303, Atlanta, GA 30324",https://www.zillow.com/homedetails/3047-Lenox-Rd-NE-APT-1303-Atlanta-GA-30324/2083015941_zpid/,Play video iconVideo Walkthrough,"$347,500 ",3 bds,2 ba,"1,604 sqft",Condo,1999,1999,Forced air,Central,,$48/month,,"$347,667 ","$323,000 - $372,000","-$4,484 (-1.3 %)"
"115 Biscayne Dr NW APT F1, Atlanta, GA 30309",https://www.zillow.com/homedetails/115-Biscayne-Dr-NW-APT-F1-Atlanta-GA-30309/2088199136_zpid/,Sold 10/30/2019,"$245,000 ",3 bds,2 ba,"1,405 sqft",Condo,1964,1964,Forced air,Central,2 spaces,$378/month,,"$245,122 ","$228,000 - $262,000","-$6,307 (-2.5 %)"
"315 Lakemoore Dr NE APT A, Atlanta, GA 30342",https://www.zillow.com/homedetails/315-Lakemoore-Dr-NE-APT-A-Atlanta-GA-30342/35933903_zpid/,Sold 10/28/2019,"$299,430 ",3 bds,3 ba,"1,426 sqft",Condo,1952,1952,Forced air,Central,Attached Garage,$390/month,,"$299,590 ","$279,000 - $321,000","+$5,431 (+1.8 %)"
"5 Jefferson Hill Pl NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/5-Jefferson-Hill-Pl-NE-Atlanta-GA-30342/35941929_zpid/,Sold 10/28/2019,"$355,000 ",3 bds,3 ba,"1,400 sqft",Condo,1975,1975,Forced air,Central,2 spaces,$390/month,"GreenEnergyEfficient:,Water Heater-gas,Great solar potentialSun Number™: 78.61","$355,189 ","$330,000 - $380,000","-$2,687 (-0.8 %)"
"1 Normandy Ct NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1-Normandy-Ct-NE-Atlanta-GA-30324/35935660_zpid/,Sold 10/24/2019,"$287,500 ",3 bds,2 ba,"1,550 sqft",Condo,1983,1983,Forced air,Central,1 space,$475/month,,"$287,674 ","$268,000 - $308,000","+$5,304 (+1.9 %)"
"315 Lakemoore Dr NE APT A, Atlanta, GA 30342",https://www.zillow.com/homedetails/315-Lakemoore-Dr-NE-APT-A-Atlanta-GA-30342/35933903_zpid/,Sold 10/28/2019,"$299,430 ",3 bds,3 ba,"1,426 sqft",Condo,1952,1952,Forced air,Central,Attached Garage,$390/month,,"$299,590 ","$279,000 - $321,000","+$5,431 (+1.8 %)"
