Address,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,HOA / Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"792 Antone St NW, Atlanta, GA 30318",Sold 11/08/2019,"$461,105 ",3 bds,2 ba,"1,934 sqft",Single Family,1950,1980,Heat pump,Central,1 space,"6,359 sqft",Candidate for a community solar programSun Number™: 20.22,"$461,203 ","$429,000 - $493,000","+$11,597 (+2.6 %)"
"700 Park Regency Pl NE APT 1905, Atlanta, GA 30326",Sold 11/08/2019,"$650,000 ",3 bds,3.5 ba,"2,495 sqft",Condo,2001,2001,"Forced air, Heat pump",Central,Attached Garage,"$1,549/month",,"$650,138 ","$605,000 - $696,000","-$188,910 (-22.5 %)"
"1441 Dupont Commons Cir NW, Atlanta, GA 30318",Sold 11/07/2019,"$500,000 ",3 bds,3 ba,"2,830 sqft",Single Family,2013,2013,Forced air,Central,Attached Garage,"4,573 sqft",Great solar potentialSun Number™: 89.81,"$500,124 ","$465,000 - $535,000","+$7,427 (+1.5 %)"
"1308 Pasadena Ave NE, Atlanta, GA 30306",Sold 11/07/2019,"$767,000 ",3 bds,3 ba,"2,012 sqft",Single Family,1960,1960,Forced air,Central,1 space,"8,712 sqft",,"$767,228 ","$729,000 - $806,000","-$2,390 (-0.3 %)"
"270 17th St NW UNIT 4001, Atlanta, GA 30363",Sold 11/07/2019,"$900,000 ",3 bds,3 ba,"2,092 sqft",Condo,2009,2009,"Forced air, Heat pump",Central,2 spaces,$728/month,,"$900,224 ","$837,000 - $963,000","-$22,214 (-2.4 %)"
"4 Pendleton Pl NE, Atlanta, GA 30342",Sold 11/05/2019,"$374,000 ",3 bds,3 ba,"1,400 sqft",Condo,1975,1975,Forced air,Central,2 spaces,$389/month,,"$374,119 ","$348,000 - $400,000","+$6,821 (+1.9 %)"
"2016 Dellwood Dr NW, Atlanta, GA 30309",Sold 11/04/2019,"$395,000 ",3 bds,1 ba,"1,278 sqft",Single Family,1940,1980,Forced air,Central,Detached Garage,0.42 acres,,"$395,140 ","$367,000 - $423,000","-$134,465 (-25.4 %)"
"2227 Melante Dr NE, Atlanta, GA 30324",Sold 11/04/2019,"$624,000 ",3 bds,2 ba,"1,951 sqft",Single Family,2008,2008,Forced air,Central,2 spaces,"10,454 sqft",,"$624,222 ","$581,000 - $668,000","+$33,834 (+5.7 %)"
"3278 Ferncliff Ln, Atlanta, GA 30324",Sold 11/04/2019,"$467,000 ",3 bds,4 ba,"2,352 sqft",Townhouse,2012,2012,Forced air,Central,2 spaces,"1,002 sqft",,"$467,166 ","$434,000 - $500,000","-$1,276 (-0.3 %)"
"3695 Peachtree Rd NE APT C, Atlanta, GA 30319",Sold 11/01/2019,"$765,500 ",3 bds,4 ba,"3,750 sqft",Townhouse,2003,2003,Forced air,Central,Attached Garage,,,"$765,854 ","$712,000 - $819,000","-$12,993 (-1.7 %)"
"4055 N Stratford Rd NE, Atlanta, GA 30342",Sold 11/01/2019,"$365,000 ",3 bds,2 ba,"1,700 sqft",Single Family,1956,1980,Forced air,Central,1 space,0.67 acres,,"$365,168 ","$340,000 - $391,000","-$19,261 (-5.0 %)"
"1166 Cumberland Rd NE, Atlanta, GA 30306",Sold 11/01/2019,"$627,000 ",3 bds,2 ba,"2,162 sqft",Single Family,1932,1980,Forced air,Central,Detached Garage,"8,624 sqft",Great solar potentialSun Number™: 92.23,"$627,290 ","$583,000 - $671,000","-$3,165 (-0.5 %)"
"508 Allen Rd NE, Atlanta, GA 30324",Sold 11/01/2019,"$382,500 ",3 bds,2 ba,"1,134 sqft",Single Family,1955,1980,Forced air,Central,,"10,062 sqft",,"$382,676 ","$356,000 - $409,000","-$4,596 (-1.2 %)"
"1178 John Collier Rd, Atlanta, GA 30318",Sold 11/01/2019,"$525,000 ",3 bds,4 ba,"2,519 sqft",Townhouse,2015,2015,Forced air,Central,2 spaces,"1,768 sqft",,"$525,242 ","$488,000 - $562,000","-$10,564 (-2.0 %)"
"2093 Dellwood Dr NW, Atlanta, GA 30309",Sold 11/01/2019,"$625,000 ",3 bds,2 ba,"1,877 sqft",Single Family,1940,1980,Forced air,"Central, Other",3 spaces,0.29 acres,,"$625,289 ","$582,000 - $669,000","+$4,214 (+0.7 %)"
"28109 Plantation Dr NE, Atlanta, GA 30324",Sold 10/31/2019,"$340,000 ",3 bds,3 ba,"1,860 sqft",Condo,1986,1986,Forced air,Central,Attached Garage,$510/month,,"$340,163 ","$316,000 - $364,000","+$46,983 (+16.0 %)"
