Address,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,HOA / Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"792 Antone St NW, Atlanta, GA 30318",Sold 11/08/2019,"$461,105 ",3 bds,2 ba,"1,934 sqft",Single Family,1950,1980,Heat pump,Central,1 space,"6,359 sqft",Candidate for a community solar programSun Number™: 20.22,"$461,203 ","$429,000 - $493,000","+$11,597 (+2.6 %)"
"1441 Dupont Commons Cir NW, Atlanta, GA 30318",Sold 11/07/2019,"$500,000 ",3 bds,3 ba,"2,830 sqft",Single Family,2013,2013,Forced air,Central,Attached Garage,"4,573 sqft",Great solar potentialSun Number™: 89.81,"$500,124 ","$465,000 - $535,000","+$7,427 (+1.5 %)"
"1308 Pasadena Ave NE, Atlanta, GA 30306",Sold 11/07/2019,"$767,000 ",3 bds,3 ba,"2,012 sqft",Single Family,1960,1960,Forced air,Central,1 space,"8,712 sqft",,"$767,228 ","$729,000 - $806,000","-$2,390 (-0.3 %)"
"2016 Dellwood Dr NW, Atlanta, GA 30309",Sold 11/04/2019,"$395,000 ",3 bds,1 ba,"1,278 sqft",Single Family,1940,1980,Forced air,Central,Detached Garage,0.42 acres,,"$395,140 ","$367,000 - $423,000","-$134,465 (-25.4 %)"
"2227 Melante Dr NE, Atlanta, GA 30324",Sold 11/04/2019,"$624,000 ",3 bds,2 ba,"1,951 sqft",Single Family,2008,2008,Forced air,Central,2 spaces,"10,454 sqft",,"$624,222 ","$581,000 - $668,000","+$33,834 (+5.7 %)"
"3278 Ferncliff Ln, Atlanta, GA 30324",Sold 11/04/2019,"$467,000 ",3 bds,4 ba,"2,352 sqft",Townhouse,2012,2012,Forced air,Central,2 spaces,"1,002 sqft",,"$467,166 ","$434,000 - $500,000","-$1,276 (-0.3 %)"
"3695 Peachtree Rd NE APT C, Atlanta, GA 30319",Sold 11/01/2019,"$765,500 ",3 bds,4 ba,"3,750 sqft",Townhouse,2003,2003,Forced air,Central,Attached Garage,,,"$765,854 ","$712,000 - $819,000","-$12,993 (-1.7 %)"
"4055 N Stratford Rd NE, Atlanta, GA 30342",Sold 11/01/2019,"$365,000 ",3 bds,2 ba,"1,700 sqft",Single Family,1956,1980,Forced air,Central,1 space,0.67 acres,,"$365,168 ","$340,000 - $391,000","-$19,261 (-5.0 %)"
"1166 Cumberland Rd NE, Atlanta, GA 30306",Sold 11/01/2019,"$627,000 ",3 bds,2 ba,"2,162 sqft",Single Family,1932,1980,Forced air,Central,Detached Garage,"8,624 sqft",Great solar potentialSun Number™: 92.23,"$627,290 ","$583,000 - $671,000","-$3,165 (-0.5 %)"
"508 Allen Rd NE, Atlanta, GA 30324",Sold 11/01/2019,"$382,500 ",3 bds,2 ba,"1,134 sqft",Single Family,1955,1980,Forced air,Central,,"10,062 sqft",,"$382,676 ","$356,000 - $409,000","-$4,596 (-1.2 %)"
"1178 John Collier Rd, Atlanta, GA 30318",Sold 11/01/2019,"$525,000 ",3 bds,4 ba,"2,519 sqft",Townhouse,2015,2015,Forced air,Central,2 spaces,"1,768 sqft",,"$525,242 ","$488,000 - $562,000","-$10,564 (-2.0 %)"
"2093 Dellwood Dr NW, Atlanta, GA 30309",Sold 11/01/2019,"$625,000 ",3 bds,2 ba,"1,877 sqft",Single Family,1940,1980,Forced air,"Central, Other",3 spaces,0.29 acres,,"$625,289 ","$582,000 - $669,000","+$4,214 (+0.7 %)"
"1909 Bay Line Ln NW, Atlanta, GA 30318",Sold 10/31/2019,"$500,000 ",3 bds,4 ba,"2,320 sqft",Townhouse,2017,2017,Forced air,Central,2 spaces,0.41 acres,,"$500,240 ","$465,000 - $535,000","-$6,644 (-1.3 %)"
"72 Alden Ave NW, Atlanta, GA 30309",Sold 10/31/2019,"$650,000 ",3 bds,2 ba,"2,146 sqft",Single Family,1930,1970,Heat pump,"Central, Other",2 spaces,"10,497 sqft",,"$650,312 ","$605,000 - $696,000","+$14,243 (+2.2 %)"
"2463 Claude St NW, Atlanta, GA 30318",Sold 10/30/2019,"$320,000 ",3 bds,2 ba,"1,278 sqft",Single Family,1961,2005,Forced air,Central,2 spaces,0.27 acres,"GreenEnergyEfficient:,Water Heater-gas,Candidate for a community solar programSun Number™: 20.21","$320,159 ","$298,000 - $343,000","-$9,208 (-2.8 %)"
"2686 Mango Cir NW, Atlanta, GA 30318",Sold 10/30/2019,"$129,000 ",3 bds,1 ba,"1,150 sqft",Single Family,1955,1955,Other,Central,3 spaces,"9,901 sqft",Great solar potentialSun Number™: 85.82,"$129,064 ","$120,000 - $138,000","+$3,765 (+3.0 %)"
"11 Scotland Pl NW, Atlanta, GA 30318",Sold 10/30/2019,"$345,000 ",3 bds,3 ba,"1,560 sqft",Townhouse,1979,1979,Forced air,Central,,"1,568 sqft",,"$345,172 ","$321,000 - $369,000","+$4,957 (+1.5 %)"
"241 Devin Pl NE # 35, Atlanta, GA 30305",Sold 10/30/2019,"$762,590 ",3 bds,4 ba,"2,430 sqft",Townhouse,2019,,,,4 spaces,,,"$762,970 ","$710,000 - $816,000","+$16,383 (+2.2 %)"
"1250 N Highland Ave NE, Atlanta, GA 30306",,"$685,000 ",3 bds,3 ba,"2,842 sqft",Single Family,1982,,Forced air,Central,2 spaces,0.34 acres,,"$685,353 ","$637,000 - $733,000","+$12,672 (+1.9 %)"
"8 Honour Ave NW UNIT 4, Atlanta, GA 30305",,$1.07M,3 bds,4 ba,"4,049 sqft",Townhouse,2007,2007,Forced air,Central,2 spaces,"1,306 sqft",,"$1,075,555 ",$1.00M - $1.15M,"+$12,817 (+1.2 %)"
"755 Berkeley Ave NW, Atlanta, GA 30318",Sold 10/28/2019,"$410,000 ",3 bds,2 ba,"1,555 sqft",Single Family,1940,1980,"Forced air, Other",Central,1 space,"5,880 sqft",,"$410,219 ","$382,000 - $439,000","+$4,355 (+1.1 %)"
"2402 N Main St NW, Atlanta, GA 30318",Sold 10/25/2019,"$95,000 ",3 bds,1 ba,962 sqft,Single Family,1971,,Forced air,Central,,"7,361 sqft",Limited solar potentialSun Number™: 50.62,"$95,055 ","$88,000 - $102,000","-$15,212 (-13.8 %)"
"3449 Landen Pine Ct NE # 21, Atlanta, GA 30305",Sold 10/24/2019,"$685,000 ",3 bds,4 ba,"2,277 sqft",Townhouse,2018,,,,,,,"$685,415 ","$637,000 - $733,000","+$6,560 (+1.0 %)"
"88 Lakeland Dr NW, Atlanta, GA 30305",Sold 10/23/2019,"$550,000 ",3 bds,2 ba,"1,491 sqft",Single Family,1945,1985,Forced air,Central,,"9,408 sqft",,"$550,343 ","$512,000 - $589,000","-$6,411 (-1.2 %)"
"1664 Gilstrap Ln NW, Atlanta, GA 30318",Sold 10/23/2019,"$435,000 ",3 bds,4 ba,"2,839 sqft",Townhouse,2013,2013,Forced air,Central,2 spaces,"2,919 sqft",,"$435,271 ","$405,000 - $466,000","-$5,547 (-1.3 %)"
"872 Westmoreland Cir NW, Atlanta, GA 30318",3D Homes Icon3D Home,"$322,000 ",3 bds,3 ba,"1,590 sqft",Townhouse,2017,,Forced air,None,2 spaces,"1,742 sqft",,"$322,201 ","$300,000 - $345,000","+$1,785 (+0.6 %)"
"725 Brookridge Dr NE, Atlanta, GA 30306",Sold 10/22/2019,"$552,000 ",3 bds,4 ba,"2,135 sqft",Townhouse,1935,1990,Forced air,Central,,"1,220 sqft",,"$552,354 ","$514,000 - $591,000","+$8,506 (+1.6 %)"
"4539 Wieuca Rd NE # 12, Atlanta, GA 30342",Sold 10/22/2019,"$425,000 ",3 bds,3 ba,#NAME?,Townhouse,1997,1997,Forced air,Central,Attached Garage,"4,356 sqft",,"$425,273 ","$396,000 - $455,000","+$8,574 (+2.1 %)"
"4539 Wieuca Rd NE, Atlanta, GA 30342",Sold 10/22/2019,"$425,000 ",3 bds,3 ba,"2,472 sqft",Townhouse,1997,1997,Forced air,Central,,"4,499 sqft",,"$425,273 ","$396,000 - $455,000","+$7,785 (+1.9 %)"
"8 Honour Ave NW UNIT 4, Atlanta, GA 30305",,$1.07M,3 bds,4 ba,"4,049 sqft",Townhouse,2007,2007,Forced air,Central,2 spaces,"1,306 sqft",,"$1,075,555 ",$1.00M - $1.15M,"+$12,817 (+1.2 %)"
"755 Berkeley Ave NW, Atlanta, GA 30318",Sold 10/28/2019,"$410,000 ",3 bds,2 ba,"1,555 sqft",Single Family,1940,1980,"Forced air, Other",Central,1 space,"5,880 sqft",,"$410,219 ","$382,000 - $439,000","+$4,355 (+1.1 %)"
"2402 N Main St NW, Atlanta, GA 30318",Sold 10/25/2019,"$95,000 ",3 bds,1 ba,962 sqft,Single Family,1971,,Forced air,Central,,"7,361 sqft",Limited solar potentialSun Number™: 50.62,"$95,055 ","$88,000 - $102,000","-$15,212 (-13.8 %)"
"1046 N Virginia Ave NE, Atlanta, GA 30306",Sold 10/24/2019,"$874,900 ",3 bds,3 ba,"2,317 sqft",Single Family,1930,1965,Forced air,Central,2 spaces,"7,492 sqft",Great solar potentialSun Number™: 89.03,"$875,430 ","$814,000 - $937,000","+$26,912 (+3.2 %)"
"3449 Landen Pine Ct NE # 21, Atlanta, GA 30305",Sold 10/24/2019,"$685,000 ",3 bds,4 ba,"2,277 sqft",Townhouse,2018,,,,,,,"$685,415 ","$637,000 - $733,000","+$6,560 (+1.0 %)"
"1209 Virginia Park Dr NE, Atlanta, GA 30306",Sold 10/23/2019,"$625,000 ",3 bds,4 ba,"2,400 sqft",Townhouse,2016,,Forced air,Central,4 spaces,862 sqft,,"$625,427 ","$594,000 - $657,000","+$9,764 (+1.6 %)"
"313 10th St NW, Atlanta, GA 30318",Sold 10/21/2019,"$365,000 ",3 bds,3 ba,"1,800 sqft",Townhouse,1983,,Forced air,Central,"Off street, On street","1,263 sqft",,"$365,241 ","$340,000 - $391,000","-$2,555 (-0.7 %)"
"795 Amber Pl NW, Atlanta, GA 30331",Sold 10/18/2019,"$107,000 ",3 bds,2 ba,"1,188 sqft",Single Family,1959,1959,Forced air,Central,,"9,104 sqft",,"$110,932 ","$104,000 - $116,000","+$1,929 (+1.8 %)"
"648 Hamilton E Holmes Dr NW, Atlanta, GA 30318",Sold 10/18/2019,"$198,000 ",3 bds,2 ba,"1,645 sqft",Single Family,1940,1940,"Forced air, Other","Central, Other",5 spaces,0.45 acres,,"$198,141 ","$184,000 - $212,000",+$976 (+0.5 %)
