Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"201 Cottsford Dr SW, Atlanta, GA 30331","$194,000 ",3 bds,2 ba,"1,451 sqft","$189,674 ",Condo,2001,Forced air,Central,Attached Garage,$260/month,Good solar potentialSun Number™: 67.41,"$1,233 ",$732/mo,$173/mo,$68/mo,$260/mo
"38 Belmonte Cir SW, Atlanta, GA 30311","$75,000 ",2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,Great solar potentialSun Number™: 79.42,$424 ,$308/mo,$67/mo,$26/mo,$23/mo
"620 Peachtree St NE APT 1204, Atlanta, GA 30308","$289,900 ",3 bds,2 ba,"1,344 sqft","$286,407 ",Condo,1965,Forced air,Central,2 spaces,$860/month,,"$2,284 ","$1,064/mo",$258/mo,$101/mo,$860/mo
"943 Peachtree St NE UNIT 1215, Atlanta, GA 30309","$277,900 ",1 bd,1 ba,768 sqft,"$273,359 ",Condo,2002,Forced air,Central,Attached Garage,$358/month,,"$1,723 ","$1,020/mo",$248/mo,$97/mo,$358/mo
"75 14th St NE UNIT 4840, Atlanta, GA 30309","$1,695,000 ",3 bds,4 ba,"2,773 sqft","$1,636,802 ",Condo,1992,Forced air,Central,Attached Garage,$130/month,,"$8,836 ","$6,602/mo","$1,511/mo",$593/mo,$130/mo
"311 Peachtree Hills Ave NE APT 15C, Atlanta, GA 30305","$199,900 ",2 bds,1 ba,"1,020 sqft","$196,057 ",Condo,1960,Forced air,Central,2 spaces,$350/month,,"$1,368 ",$769/mo,$178/mo,$70/mo,$350/mo
"955 Juniper St NE UNIT 3125, Atlanta, GA 30309","$275,000 ",2 bds,1 ba,"1,031 sqft","$269,020 ",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$310/month,,"$1,661 ","$1,009/mo",$245/mo,$96/mo,$310/mo
"15 Gould St SE, Atlanta, GA 30315","$99,000 ",5 bds,2 ba,"1,492 sqft",,Multi Family,1920,Other,Other,Off street,$66 ,Great solar potentialSun Number™: 86.63,$530 ,$407/mo,$88/mo,$35/mo,$0/mo
"20 Marietta St NW # 15B, Atlanta, GA 30303","$194,900 ",2 bds,2 ba,"1,156 sqft","$189,902 ",Condo,1995,Other,Central,None,$590/month,,"$1,582 ",$750/mo,$174/mo,$68/mo,$590/mo
"195 14th St NE UNIT 901, Atlanta, GA 30309","$219,000 ",1 bd,1 ba,627 sqft,"$215,467 ",Condo,2002,Forced air,Central,1 space,$315/month,,"$1,430 ",$843/mo,$195/mo,$77/mo,$315/mo
"3445 Stratford Rd NE APT 307, Atlanta, GA 30326","$379,900 ",4 bds,4 ba,"1,363 sqft","$370,671 ",Condo,2006,Forced air,Central,2 spaces,$584/month,,"$2,450 ","$1,394/mo",$339/mo,$133/mo,$584/mo
"954 Joseph E Boone Blvd NW, Atlanta, GA 30314","$165,000 ",5 bds,4 ba,"2,290 sqft","$136,640 ",Multi Family,1930,Forced air,Central,4 spaces,$72 ,Good solar potentialSun Number™: 62.62,$840 ,$635/mo,$147/mo,$58/mo,$0/mo
"88 W Paces Ferry Rd NW UNIT 2630, Atlanta, GA 30305","$15,995,000 ",5 bds,6.5 ba,"9,825 sqft",,Condo,2011,Heat pump,Central,No Data,No Data,,"$82,293 ","$62,433/mo","$14,262/mo","$5,598/mo",$0/mo
"620 Peachtree St NE APT 413, Atlanta, GA 30308","$200,000 ",2 bds,2 ba,"1,288 sqft",,Condo,1965,Forced air,Central,1 space,$826/month,,"$1,844 ",$770/mo,$178/mo,$70/mo,$826/mo
"1072 Piedmont Ave NE APT 101, Atlanta, GA 30309","$375,000 ",2 bds,2 ba,"1,182 sqft","$369,642 ",Condo,1982,No Data,No Data,4 spaces,$305/month,,"$2,147 ","$1,376/mo",$334/mo,$131/mo,$305/mo
"1445 Monroe Dr NE APT F36, Atlanta, GA 30324","$250,000 ",2 bds,2 ba,"1,060 sqft","$243,978 ",Condo,1975,No Data,No Data,2 spaces,$297/month,,"$1,570 ",$962/mo,$223/mo,$88/mo,$297/mo
"675 Greenwood Ave NE APT 105, Atlanta, GA 30306","$720,000 ",2 bds,3 ba,"1,813 sqft","$704,355 ",Condo,1925,Forced air,Central,2 spaces,$424/month,,"$4,128 ","$2,810/mo",$642/mo,$252/mo,$424/mo
"1280 W Peachtree St NW APT 3401, Atlanta, GA 30309","$129,900 ",1 bd,1 ba,457 sqft,"$128,263 ",Condo,1989,Other,Central,4 spaces,$229/month,,$890 ,$500/mo,$116/mo,$45/mo,$229/mo
