Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"6192 Stonelake Dr SW, Atlanta, GA 30331","$349,900 ",7 bds,4 ba,"4,703 sqft","$335,154 ",Single Family,2011,Forced air,Central,Attached Garage,0.29 acres,Great solar potentialSun Number™: 90.63,"$1,756 ","$1,284/mo",$312/mo,$122/mo,$37/mo
"175 Wynfield Way SW, Atlanta, GA 30331","$457,900 ",4 bds,4 ba,"3,624 sqft","$446,932 ",Single Family,2002,Forced air,Central,Attached Garage,0.47 acres,Great solar potentialSun Number™: 92.21,"$2,357 ","$1,681/mo",$408/mo,$160/mo,$108/mo
"3644 Stone Rd SW, Atlanta, GA 30331","$94,900 ",3 bds,2 ba,"1,488 sqft","$91,385 ",Single Family,1961,Forced air,Central,No Data,0.42 acres,Candidate for a community solar programSun Number™: 20.23,$507 ,$389/mo,$85/mo,$33/mo,$0/mo
"664 Indigo Ln NW, Atlanta, GA 30318","$244,999 ",4 bds,3 ba,"2,120 sqft","$234,573 ",Single Family,1967,Forced air,Other,5 spaces,0.4 acres,Candidate for a community solar programSun Number™: 20.22,"$1,228 ",$924/mo,$218/mo,$86/mo,$0/mo
"2666 Dayview Ln, Atlanta, GA 30331","$279,900 ",4 bds,4 ba,"3,456 sqft","$274,517 ",Single Family,2016,No Data,No Data,No Data,0.27 acres,Limited solar potentialSun Number™: 55.42,"$1,416 ","$1,027/mo",$250/mo,$98/mo,$41/mo
"1425 Oakland Dr SW, Atlanta, GA 30310","$150,000 ",7 bds,2 ba,"1,590 sqft","$144,642 ",Single Family,1930,Forced air,Central,No Data,0.44 acres,Limited solar potentialSun Number™: 59.42,$752 ,$566/mo,$134/mo,$53/mo,$0/mo
"875 Eleanor Ct NW, Atlanta, GA 30318","$160,000 ",4 bds,2 ba,"1,166 sqft","$155,354 ",Single Family,1963,Forced air,Central,Attached Garage,0.31 acres,Good solar potentialSun Number™: 60.22,$802 ,$603/mo,$143/mo,$56/mo,$0/mo
"Fieldstone Plan, Summit At Stonewall Tell","$307,990+",4 bds,3 ba,"2,835 sqft","$295,902 ",Single Family,2019,No Data,No Data,2 spaces,No Data,Great solar potentialSun Number™: 92.23,"$1,513 ",,,,
"1638 Orlando St SW, Atlanta, GA 30311","$425,000 ",5 bds,3 ba,"3,156 sqft","$416,830 ",Single Family,1950,Forced air,Central,3 spaces,0.29 acres,Candidate for a community solar programSun Number™: 20.22,"$2,088 ","$1,560/mo",$379/mo,$149/mo,$0/mo
"3224 Topaz Ln SW, Atlanta, GA 30331","$215,000 ",4 bds,4 ba,"2,716 sqft","$208,384 ",Single Family,1972,Forced air,Central,2 spaces,0.7 acres,,"$1,078 ",$811/mo,$192/mo,$75/mo,$0/mo
"5015 Guilford Forest Dr SW, Atlanta, GA 30331","Est. $256,295",5 bds,4 ba,"4,376 sqft","$256,295 ",Single Family,2005,Forced air,Central,No Data,0.4 acres,Great solar potentialSun Number™: 92.21,"$1,259 ",$941/mo,$229/mo,$90/mo,$0/mo
"2333 Tiger Flowers Dr NW, Atlanta, GA 30314","$199,800 ",4 bds,3 ba,"2,100 sqft","$195,950 ",Single Family,1949,Forced air,Central,2 spaces,"10,833 sqft",Limited solar potentialSun Number™: 49.02,"$1,002 ",$754/mo,$178/mo,$70/mo,$0/mo
"1787 Westmoreland Ln NW, Atlanta, GA 30318","$430,000 ",3 bds,3 ba,"2,480 sqft","$417,597 ",Single Family,2015,Forced air,Central,Detached Garage,"6,098 sqft",Great solar potentialSun Number™: 92.22,"$2,220 ","$1,578/mo",$383/mo,$151/mo,$108/mo
"2152 Main St NW, Atlanta, GA 30318","$275,000 ",4 bds,2 ba,"1,472 sqft","$265,517 ",Single Family,1930,Forced air,Central,Off street,0.44 acres,Candidate for a community solar programSun Number™: 20.21,"$1,351 ","$1,009/mo",$245/mo,$96/mo,$0/mo
"567 Holderness St SW, Atlanta, GA 30310","$199,000 ",2 bds,1 ba,"1,222 sqft","$191,167 ",Single Family,1900,Forced air,Central,2 spaces,0.34 acres,Great solar potentialSun Number™: 79.42,$998 ,$751/mo,$177/mo,$70/mo,$0/mo
"2788 Bluestone Dr SW, Atlanta, GA 30331","$320,000 ",6 bds,4 ba,"4,212 sqft","$315,270 ",Single Family,2016,Forced air,No Data,Attached Garage,"10,323 sqft",Good solar potentialSun Number™: 63.43,"$1,609 ","$1,175/mo",$285/mo,$112/mo,$37/mo
"2947 Oldknow Dr NW, Atlanta, GA 30318","$289,000 ",4 bds,4 ba,"3,952 sqft","$274,646 ",Single Family,1965,Forced air,Central,2 spaces,0.97 acres,Good solar potentialSun Number™: 64.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"1470 S Gordon St SW, Atlanta, GA 30310","$419,000 ",3 bds,3 ba,"1,845 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"8,712 sqft",,"$2,058 ","$1,538/mo",$374/mo,$147/mo,$0/mo
"1816 N Ave Nw, Atlanta, GA 30318","$289,900 ",3 bds,2 ba,"1,480 sqft","$279,913 ",Single Family,1938,Forced air,Central,4 spaces,0.31 acres,,"$1,424 ","$1,064/mo",$258/mo,$101/mo,$0/mo
"86 Morris Brown Dr SW, Atlanta, GA 30314","$375,000 ",5 bds,5 ba,"3,805 sqft","$365,566 ",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",Great solar potentialSun Number™: 86.62,"$1,842 ","$1,376/mo",$334/mo,$131/mo,$0/mo
"747 Emily Pl NW, Atlanta, GA 30318","$289,000 ",4 bds,2 ba,"1,500 sqft","$282,555 ",Single Family,2007,Forced air,Central,4 spaces,0.26 acres,Great solar potentialSun Number™: 92.22,"$1,420 ","$1,061/mo",$258/mo,$101/mo,$0/mo
"4896 Campbellton Rd SW, Atlanta, GA 30331","$80,000 ",3 bds,2 ba,"1,377 sqft",,Single Family,1957,Other,Other,No Data,2.41 acres,Candidate for a community solar programSun Number™: 20.21,$427 ,$328/mo,$71/mo,$28/mo,$0/mo
"2503 Wyncreek Dr SW, Atlanta, GA 30331","Est. $298,365",6 bds,5 ba,"4,210 sqft","$298,365 ",Single Family,2004,Forced air,Central,2 spaces,0.29 acres,Great solar potentialSun Number™: 92.23,"$1,466 ","$1,095/mo",$266/mo,$104/mo,$0/mo
"1834 Marietta Rd NW, Atlanta, GA 30318","$349,900 ",4 bds,4 ba,"2,277 sqft","$335,762 ",Single Family,1920,Forced air,Central,3 spaces,"9,173 sqft",Great solar potentialSun Number™: 70.61,"$1,719 ","$1,284/mo",$312/mo,$122/mo,$0/mo
"501 Dargan Pl SW, Atlanta, GA 30310","Est. $178,774",3 bds,2 ba,"1,570 sqft","$178,774 ",Single Family,1920,"Forced air, Other",Central,3 spaces,"6,303 sqft",Limited solar potentialSun Number™: 58.62,$896 ,$674/mo,$159/mo,$63/mo,$0/mo
"2182 Cascade Rd SW, Atlanta, GA 30311","$187,500 ",3 bds,1 ba,"1,763 sqft","$183,895 ",Single Family,1925,Other,Central,3 spaces,"10,018 sqft",Candidate for a community solar programSun Number™: 20.22,$940 ,$707/mo,$167/mo,$66/mo,$0/mo
"Cali Plan, Hampshire Park","$204,100+",4 bds,2 ba,"1,774 sqft","$197,896 ",Single Family,2019,No Data,No Data,2 spaces,No Data,,"$1,023 ",,,,
