Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,Heating_Electric,Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Other","Heating_Forced air, Radiant",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Heating_Stove,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Refrigeration",Cooling_No Data,Cooling_None,Cooling_Other
30342,0.34068696370325896,0.0,-0.5571011354628996,0.27333203599854666,-0.8608512474425023,1.795956383651132,1.1400511632580099e-14,0.365041133624086,0.34293619039922807,33.882179260253906,-84.37528991699219,3,0.2691243,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.2676427534107971,0.0,-0.5571011354628996,0.15430245260788908,-1.2857181458312268,0.5465845374171525,1.1400511632580099e-14,-0.26591988611275746,0.27424207030168973,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.2939860635045766,0.0,-0.47189743239210324,0.22624340960224257,1.3241785156995096,1.578674323436527,1.1400511632580099e-14,-0.02763616295895678,-0.321655338577208,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,0.025132728830477246,0.0,-0.3866937293213068,1.3838388085113849,1.445569058096288,-5.804995925067511e-13,-0.3282727912850851,1.078999455387287e-15,0.017999298790311286,33.792301177978516,-84.44786071777344,0,-0.60014594,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.8519964357504922,0.0,-0.47189743239210324,0.7089018301643595,-1.3767610526288105,0.5465845374171525,0.9553107072229334,-0.10304805287092741,0.8764587141075929,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,3.3192675389625386,0.0,-0.3866937293213068,2.6172992166145725,1.3848737868978989,1.6873153535438297,0.9553107072229334,-0.8634140907999102,3.4549847056376777,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.4562006094913036,0.0,-0.6423048385336961,-1.4846433494634728,-0.31459380665699926,-0.8114283389241297,1.1400511632580099e-14,-0.03156293592478702,-1.5384184270261936,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30324,-0.36540706912387266,0.0,-0.3866937293213068,0.0012644168199007976,1.2331356089019259,-5.804995925067511e-13,-0.3282727912850851,-0.8790319378230994,-0.4406760762871884,33.81840515136719,-84.3581771850586,1,0.525583,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.5016503403399466,0.0,-0.6423048385336961,-1.0739258858957093,-0.31459380665699926,-1.3546334894606427,1.1400511632580099e-14,-0.12553775258431982,-1.3585966769348004,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30319,0.7724594067653671,0.0,-0.3866937293213068,2.2902948666402385,0.9903545241083689,0.9811486578463628,0.9553107072229334,1.078999455387287e-15,0.7911439546421928,33.875953674316406,-84.33476257324219,3,0.2691243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-0.7387441439520113,0.0,-0.47189743239210324,-0.24464285436079833,1.0207021597075636,1.035469172900014,-0.3282727912850851,-0.5368672207550571,-0.7875963074355159,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30308,0.7805754301311961,0.0,-0.47189743239210324,0.7782267523589183,-1.3767610526288105,-1.0830309141923862,-0.3282727912850851,-0.4513706639081128,0.8007533977705913,33.77112579345703,-84.37810516357422,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
